category,scientific_name,common_names,conservation_status,lifespan_years,mass_kg
Mammal,Clethrionomys gapperi gapperi,Gapper's Red-Backed Vole,In Recovery,15.5,4.003
Mammal,Bos bison,"American Bison, Bison",,22.4,0.809
Mammal,Bos taurus,"Aurochs, Aurochs, Domestic Cattle (Feral), Domesticated Cattle",Species of Concern,50.0,6.727
Mammal,Ovis aries,"Domestic Sheep, Mouflon, Red Sheep, Sheep (Feral)",Species of Concern,16.9,27.253
Mammal,Cervus elaphus,Wapiti Or Elk,,11.2,2.107
Mammal,Odocoileus virginianus,White-Tailed Deer,Threatened,39.8,4.332
Mammal,Sus scrofa,"Feral Hog, Wild Pig",In Recovery,3.4,25.203
Mammal,Canis latrans,Coyote,Species of Concern,8.0,8.0
Mammal,Canis lupus,Gray Wolf,Endangered,29.0,0.693
Mammal,Canis rufus,Red Wolf,Endangered,35.3,10.036
Mammal,Urocyon cinereoargenteus,"Common Gray Fox, Gray Fox",,12.5,1.515
Mammal,Vulpes fulva,"Black Fox, Cross Fox, Red Fox, Silver Fox",Species of Concern,5.2,1.051
Mammal,Vulpes vulpes,Red Fox,Species of Concern,5.1,1.246
Mammal,Felis concolor,Mountain Lion,Endangered,2.1,0.367
Mammal,Felis silvestris,"Wild Cat, Wildcat",Endangered,16.2,0.098
Mammal,Lynx rufus,Bobcat,Species of Concern,4.2,0.82
Mammal,Puma concolor,Panther (Mountain Lion),Endangered,6.4,0.738
Mammal,Mephitis mephitis,Striped Skunk,,5.9,2.124
Mammal,Spilogale putorius,Eastern Spotted Skunk,Endangered,13.2,0.284
Mammal,Lontra canadensis,River Otter,Species of Concern,2.9,0.091
Mammal,Lutra canadensis,Northern River Otter,Species of Concern,19.6,37.753
Mammal,Martes pennanti,Fisher,In Recovery,1.9,1.397
Mammal,Mustela,Mink (Or Weasel),,2.4,17.421
Mammal,Mustela frenata,Long-Tailed Weasel,,4.7,0.177
Mammal,Mustela nivalis,Least Weasel,Species of Concern,2.3,0.691
Mammal,Mustela vison,Mink,,50.0,2.287
Mammal,Procyon lotor,"Common Raccoon, Raccoon",Species of Concern,0.8,0.56
Mammal,Ursus americanus,Black Bear,Species of Concern,5.9,3.602
Mammal,Corynorhinus rafinesquii,Rafinesque's Big-Eared Bat,,7.4,1.594
Mammal,Eptesicus fuscus,Big Brown Bat,Species of Concern,6.1,0.976
Mammal,Lasionycteris noctivagans,Silver-Haired Bat,Species of Concern,2.7,0.481
Mammal,Lasiurus borealis,"Eastern Red Bat, Red Bat",Threatened,11.1,14.872
Mammal,Lasiurus cinereus,Hoary Bat,Endangered,4.0,0.702
Mammal,Myotis austroriparius,"Mississippi Myotis, Southeastern Myotis",Species of Concern,4.4,0.408
Mammal,Myotis grisescens,Gray Myotis,Endangered,50.0,7.793
Mammal,Myotis keenii,Keen's Myotis,Species of Concern,5.6,0.298
Mammal,Myotis leibii,"Eastern Small-Footed Bat, Eastern Small-Footed Myotis",Species of Concern,32.1,7.841
Mammal,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",Species of Concern,5.6,0.3
Mammal,Myotis septentrionalis,"Northern Long-Eared Bat, Northern Myotis",Threatened,13.5,0.303
Mammal,Myotis sodalis,"Indiana Bat, Indiana Or Social Myotis",Endangered,0.9,1.245
Mammal,Nycticeius humeralis,Evening Bat,Species of Concern,11.1,5.857
Mammal,Pipistrellus subflavus,Eastern Pipistrelle,,35.2,2.453
Mammal,Didelphis virginiana,"Virginia Opossum, Virginia Oppossum",,5.6,1.541
Mammal,Lepus americanus,Snowshoe Hare,,41.4,1.139
Mammal,Sylvilagus floridanus,Eastern Cottontail,,17.4,0.2
Mammal,Sylvilagus obscurus,Appalachian Cottontail,In Recovery,4.5,0.732
Mammal,Sylvilagus transitionalis,New England Cottontail,Species of Concern,5.0,0.93
Mammal,Equus caballus,"Feral Horse, Horse",Species of Concern,6.9,15.039
Mammal,Homo sapiens,"Human, Humans, Man",Species of Concern,6.8,5.65
Mammal,Castor canadensis,"American Beaver, Beaver",,1.3,0.112
Mammal,Clethrionomys gapperi,Southern Red-Backed Vole,Species of Concern,17.3,9.476
Mammal,Microtus chrotorrhinus,"Rock Vole, Southern Rock Vole",Species of Concern,2.2,0.847
Mammal,Microtus pennsylvanicus,Meadow Vole,,12.0,0.373
Mammal,Microtus pinetorum,Woodland Vole,In Recovery,24.1,8.55
Mammal,Neotoma floridana,Eastern Woodrat,,3.8,7.815
Mammal,Neotoma magister,"Allegheny Woodrat, Appalachian Woodrat",Species of Concern,50.0,13.326
Mammal,Ochrotomys nuttalli,Golden Mouse,,10.2,0.182
Mammal,Ondatra zibethicus,Muskrat,,16.6,3.942
Mammal,Oryzomys palustris,Marsh Rice Rat,,6.0,6.688
Mammal,Oryzomys palustris palustris,Marsh Rice Rat,,29.0,4.773
Mammal,Peromyscus gossypinus,Cotton Mouse,Endangered,21.3,0.546
Mammal,Peromyscus leucopus,White-Footed Mouse,Threatened,8.2,5.612
Mammal,Peromyscus maniculatus,Deer Mouse,Species of Concern,33.7,0.332
Mammal,Reithrodontomys humulis,Eastern Harvest Mouse,Species of Concern,5.5,0.274
Mammal,Synaptomys cooperi,Southern Bog Lemming,Threatened,42.5,2.361
Mammal,Synaptomys cooperi stonei,Stone's Southern Bog Lemming,Threatened,26.4,16.842
Mammal,Napaeozapus insignis,Woodland Jumping Mouse,Species of Concern,16.2,2.128
Mammal,Zapus hudsonius,Meadow Jumping Mouse,,3.7,18.814
Mammal,Erethizon dorsatum,"Common Porcupine, Porcupine",,16.8,2.02
Mammal,Mus musculus,House Mouse,Threatened,3.7,0.415
Mammal,Rattus norvegicus,Norway Rat,Endangered,5.6,6.127
Mammal,Rattus rattus,Black Rat,Species of Concern,50.0,40.0
Mammal,Glaucomys sabrinus coloratus,"Carolina Northern Flying Squirrel, Northern Flying Squirrel",Endangered,8.0,1.004
Mammal,Glaucomys volans,Southern Flying Squirrel,Species of Concern,9.2,40.0
Mammal,Marmota monax,Woodchuck,Species of Concern,1.8,0.055
Mammal,Sciurus carolinensis,"Eastern Gray Squirrel, Gray Squirrel",In Recovery,4.7,17.956
Mammal,Sciurus niger,"Eastern Fox Squirrel, Fox Squirrel",Endangered,37.8,2.97
Mammal,Tamias striatus,Eastern Chipmunk,,4.5,0.382
Mammal,Tamiasciurus hudsonicus,Red Squirrel,Species of Concern,16.8,2.848
Mammal,Blarina brevicauda,"Northern Short Tailed Shrew, Northern Short-Tailed Shrew",Species of Concern,11.9,0.26
Mammal,Cryptotis parva,Least Shrew,,5.6,1.144
Mammal,Sorex cinereus,"Common Shrew, Masked Shrew",,19.3,3.68
Mammal,Sorex dispar,"Long-Tailed Or Rock Shrew, Long-Tailed Shrew",Threatened,8.5,22.447
Mammal,Sorex fumeus,Smoky Shrew,,50.0,0.219
Mammal,Sorex hoyi,Pygmy Shrew,Threatened,15.1,2.204
Mammal,Sorex longirostris,Southeastern Shrew,Threatened,6.4,0.746
Mammal,Sorex palustris,Water Shrew,,8.0,14.535
Mammal,Condylura cristata,Star-Nosed Mole,Species of Concern,10.7,4.225
